id,title,subtitle,author,matter,editorial,collection,binding,country,lenguage of publication,original lenguage,ISBN,EAN,dimension,weight,number of pages,publication date,price (€),untaxed price (€),book cover
79,El gato que amaba los libros,,"Natsukawa, Sosuke",Japón,GRIJALBO,"Morros Serret, Marta",,Encuadernación:,País de publicación :,Idioma de publicación :,978-84-253-5993-4,9788425359934,231 x 155 mm.,448 gramos,256,03-03-2022,"19,90","19,13",https://static.cegal.es/imagenes/marcadas/9788425/978842535993.gif
80,Las formas del querer,Premio Nadal de Novela 2022,"Martín Rodrigo, Inés",Ficción moderna y contemporanea,Ediciones Destino,Áncora & Delfín,Cartoné,España,Castellano,Castellano,978-84-233-6089-5,9788423360895,230 x 133 mm.,656 gramos,408,02-02-2022,"20,90","20,10",https://static.cegal.es/imagenes/marcadas/9788423/978842336089.gif
81,GUARDIANES DE LA NOCHE 01,,"KOYOHARU, GOTOUGE",Novelas gráficas: manga,NORMA EDITORIAL,GUARDIANES DE LA NOCHE,Libro en otro formato,España,Castellano,Castellano,978-84-679-3532-5,9788467935325,175 x 115 mm.,230 gramos,192,10-10-2019,"8,00","7,69",https://static.cegal.es/imagenes/marcadas/9788467/978846793532.gif
82,HELLSING 05. EDICIÓN COLECCIONISTA,,KOHTA HIRANO,Novelas gráficas: manga,NORMA EDITORIAL,HELLSING,Libro en otro formato,España,Castellano,Castellano,978-84-679-4229-3,9788467942293,210 x 140 mm.,200 gramos,424,25-03-2022,"16,00","15,38",https://static.cegal.es/imagenes/marcadas/9788467/978846794229.gif
83,Matar al rey,,"Corral, José Luis",Ficción histórica,B,HISTORICA,Cartoné,España,Castellano,Castellano,978-84-666-7120-0,9788466671200,237 x 160 mm.,682 gramos,432,10-03-2022,"22,90","22,02",https://static.cegal.es/imagenes/marcadas/9788466/978846667120.gif
84,Nadie lo sabe,,"Gratacós, Tony",Aventura histórica,Ediciones Destino,Áncora & Delfín,Cartoné,España,Castellano,Castellano,978-84-233-6102-1,9788423361021,230 x 133 mm.,744 gramos,624,02-03-2022,"21,90","21,06",https://static.cegal.es/imagenes/marcadas/9788423/978842336102.gif
85,No quieren que lo sepas,,"Cintora, Jesús",Política y Gobierno,Espasa,NO FICCIÓN,Tapa blanda o Bolsillo,España,Castellano,Castellano,978-84-670-6550-3,9788467065503,230 x 150 mm.,386 gramos,344,30-03-2022,"19,90","19,13",https://static.cegal.es/imagenes/marcadas/9788467/978846706550.gif
86,La Biblia de Maestros de la costura,,Shine / RTVE,"ESTILO DE VIDA, DEPORTE Y OCIO",Espasa,F. COLECCION,Cartoné,España,Castellano,Castellano,978-84-670-6461-2,9788467064612,255 x 190 mm.,1463 gramos,368,19-01-2022,"24,90","23,94",https://static.cegal.es/imagenes/marcadas/9788467/978846706461.gif
87,TOKYO REVENGERS 01,,"WAKUI, KEN",Novelas gráficas: manga,NORMA EDITORIAL,TOKYO REVENGERS,Libro en otro formato,España,Castellano,Castellano,978-84-679-4707-6,9788467947076,210 x 140 mm.,760 gramos,392,12-11-2021,"16,00","15,38",https://static.cegal.es/imagenes/marcadas/9788467/978846794707.gif
88,Cuentos afilados en noches extrañas y otras puñaladas,,"Fernández, Bebi",Ficción moderna y contemporanea,Editorial Planeta,,(Fuera de colección),Cartoné,España,Castellano,978-84-08-25467-6,9788408254676,190 x 130 mm.,324 gramos,288,02-03-2022,"16,90","16,25",https://static.cegal.es/imagenes/marcadas/9788408/978840825467.gif
89,Compas 1. Los Compas y el diamantito legendario (nueva presentación),,"Mikecrack, El Trollino y Timba Vk",Edad de interés: a partir de 10 años,Ediciones Martínez Roca,4You2,Cartoné,España,Castellano,Castellano,978-84-270-4794-5,9788427047945,230 x 150 mm.,416 gramos,240,29-10-2020,"15,90","15,29",https://static.cegal.es/imagenes/marcadas/9788427/978842704794.gif
90,Independencia,Terra Alta 2,"Cercas, Javier",Ficción moderna y contemporanea,Maxi-Tusquets,MAXI,Tapa blanda o Bolsillo,España,Castellano,Castellano,978-84-1107-075-1,9788411070751,200 x 130 mm.,280 gramos,400,23-02-2022,"12,95","12,45",https://static.cegal.es/imagenes/marcadas/9788411/978841107075.gif
91,Sin miedo,"El método comprobado para superar la ansiedad, las obsesiones, la hipocondría y cualquier temor irracional","Santandreu, Rafael","MENTE, CUERPO Y ESPÍRITU",GRIJALBO,,,,,,978-84-253-6110-4,9788425361104,215 x 141 mm.,350 gramos,304,08-06-2021,"18,90","18,17",https://static.cegal.es/imagenes/marcadas/9788425/978842536110.gif
92,El monje que vendió su Ferrari,Una fábula espiritual,"Sharma, Robin","Afirmación personal, motivación y autoestima",DEBOLSILLO,,,,,,978-84-9908-712-2,9788499087122,190 x 126 mm.,156 gramos,216,22-03-2012,"9,95","9,57",https://static.cegal.es/imagenes/marcadas/9788499/978849908712.gif
93,Biografía del silencio,Breve ensayo sobre la meditación,"d'Ors, Pablo",Ficción moderna y contemporanea,Galaxia Gutenberg,Narrativa,Tapa blanda o Bolsillo,España,Castellano,Castellano,978-84-17971-71-7,9788417971717,180 x 115 mm.,124 gramos,112,12-02-2020,"11,95","11,49",https://static.cegal.es/imagenes/marcadas/9788417/978841797171.gif
94,"Las guerreras Maxwell, 7. Atrévete a retarme",,"Maxwell, Megan",Narrativa romántica,Esencia,MEDIEVAL / HIGHLANDER,Tapa blanda o Bolsillo,España,Castellano,Castellano,978-84-08-25244-3,9788408252443,215 x 145 mm.,535 gramos,544,23-02-2022,"18,00","17,31",https://static.cegal.es/imagenes/marcadas/9788408/978840825244.gif
95,La sombra de Julio César (Serie Dictator 1),,"Frediani, Andrea",Ficción histórica,Espasa,"Gentile Vitale, Juan Carlos",,Encuadernación:,País de publicación :,Idioma de publicación :,978-84-670-6506-0,9788467065060,230 x 150 mm.,652 gramos,448,02-03-2022,"21,90","21,06",https://static.cegal.es/imagenes/marcadas/9788467/978846706506.gif
96,ESTUCHE DEJA QUE OCURRA (ALICE KELLEN),,"Kellen, Alice",Narrativa romántica adulta y contemporánea,Booket,Novela,Tapa blanda o Bolsillo,España,Castellano,Castellano,978-84-08-23119-6,9788408231196,190 x 125 mm.,536 gramos,752,30-06-2020,"17,90","17,21",https://static.cegal.es/imagenes/marcadas/9788408/978840823119.gif
97,El hombre en busca de sentido,,"Frankl, Viktor Emil",El Holocausto,Herder Editorial,COMITÉ DE TRADUCCIÓN AL ESPAÑO,Tapa blanda o Bolsillo,España,Castellano,Alemán,978-84-254-3202-6,9788425432026,216 x 141 mm.,228 gramos,168,04-12-2015,"13,42","12,90",https://static.cegal.es/imagenes/marcadas/9788425/978842543202.gif
98,Cuarentena,,"Márkaris, Petros",Ficción moderna y contemporanea,Tusquets Editores,"Samará Spiliotopulu, Ersi Marina",,Encuadernación:,País de publicación :,Idioma de publicación :,978-84-1107-098-0,9788411070980,225 x 148 mm.,352 gramos,240,30-03-2022,"19,00","18,27",https://static.cegal.es/imagenes/marcadas/9788411/978841107098.gif
99,Obra maestra,,"Tallón, Juan",Crímenes reales,Editorial Anagrama,Narrativas hispánicas,Tapa blanda o Bolsillo,España,Castellano,Castellano,978-84-339-9941-2,9788433999412,220 x 140 mm.,435 gramos,328,02-02-2022,"19,90","19,13",https://static.cegal.es/imagenes/marcadas/9788433/978843399941.gif
100,Rusia frente a Ucrania,"Imperios, pueblos, energía","Taibo Arias, Carlos",Conflicto armado,Los Libros de la Catarata,Relecturas,Tapa blanda o Bolsillo,España,Castellano,Castellano,978-84-1352-409-2,9788413524092,220 x 140 mm.,275 gramos,176,02-02-2022,"15,00","14,42",https://static.cegal.es/imagenes/marcadas/9788413/978841352409.gif
